Название;Цена, руб.;Артикул;Стартовый ток;Емкость;Номинальное напряжение;Клемы;Полярность;Длина;Ширина;Высота;Вес;Изготовитель;Страна производства
ATLAS BX EFB 45 Ач (70 B 24L) (0);4750;00004239;460А;45,0 Ач;12В;Тонкие;Обратная;236 мм.;128 мм.;220 мм.;12.6 кг.;ATLASBX, Co., Ltd.;Республика Корея Провинция Чолла-Пукто
MUTLU SFB M3 110 Ач обр.п. (0);13400;00004199;920А;110,0 Ач;12В;Толстые;Обратная;394 мм.;175 мм.;190 мм.;24 кг.;MUTLU AKU VE MALZEMELERI SANAYII A.S.;Турецкая Республика г. Анкара
AFA PLUS 74 Ач обр.п. (0);9610;00004200;680А;74,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;190 мм.;18 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
AFA PLUS 72 Ач (низ) обр.п. (0);9300;00004198;680А;72,0 Ач;12В;Толстые;Обратная;278 мм.;175 мм.;175 мм.;18 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
AFA PLUS 60 Ач (низ) обр.п. (0);6190;00004197;540А;60,0 Ач;12В;Толстые;Обратная;242 мм.;175 мм.;175 мм.;15 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
FireBall 190 Ач (болт) прям.п. (4);13970;00004121;1200А;190,0 Ач;12В;Толстые;Прямая;518 мм.;240 мм.;242 мм.;46.4 кг.;"ООО ""ИСТОК+""";Российская Федерация г.Курск
MUTLU SFB M2 135 Ач обр.п. (3);14100;00004045;950А;135,0 Ач;12В;Толстые;Обратная;510 мм.;185 мм.;220 мм.;35.7 кг.;MUTLU AKU VE MALZEMELERI SANAYII A.S.;Турецкая Республика г. Анкара
AFA PLUS 100 Ач обр.п. (0);16020;00004040;830А;100,0 Ач;12В;Толстые;Обратная;353 мм.;175 мм.;190 мм.;25 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
AFA PLUS 225 Ач обр.п. (3);29450;00004039;1150А;225,0 Ач;12В;Толстые;Обратная;518 мм.;291 мм.;242 мм.;61 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
AFA PLUS 80 Ач (низ) обр.п. (0);11160;00004041;740А;80,0 Ач;12В;Толстые;Обратная;315 мм.;175 мм.;175 мм.;22 кг.;Clarios Germany GmbH& Co.KGaA;Германия г.Ганновер
Numax Silver 90 Ач (110 D 26L) (0);9760;00004020;730А;90,0 Ач;12В;Толстые;Обратная;258 мм.;172 мм.;200 мм.;19 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax 65 Ач (75 D 23R) (1);6750;00004023;570А;65,0 Ач;12В;Толстые;Прямая;230 мм.;172 мм.;220 мм.;16.2 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax 75 Ач (85 D 26L) (0);7840;00004018;630А;75,0 Ач;12В;Толстые;Обратная;260 мм.;172 мм.;220 мм.;17.4 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax 75 Ач (85 D 26R) (1);7840;00004017;630А;75,0 Ач;12В;Толстые;Прямая;260 мм.;172 мм.;220 мм.;17.4 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Numax Silver 44 Ач (50 B 19L) (0);5240;00004019;390А;44,0 Ач;12В;Тонкие;Обратная;187 мм.;127 мм.;220 мм.;9 кг.;BOST HOLDINGS-DTR CORP;Республика Корея г.Сеул
Тюмень Premium 64 Ач прям.п. (1);6000;00003952;620А;64,0 Ач;12В;Толстые;Прямая;242 мм.;175 мм.;190 мм.;16 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Тюмень Premium 77 Ач прям.п.  (1);7050;00003954;680А;77,0 Ач;12В;Толстые;Прямая;280 мм.;175 мм.;190 мм.;21 кг.;"ОАО ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
Spark 132 Ач прям.п. (4);10800;00004013;750А;132,0 Ач;12В;Толстые;Обратная;513 мм.;190 мм.;223 мм.;38 кг.;"ООО ""Актех Энергия Трейд""";Российская Федерация г.Иркутск
ТЮМЕНЬ Азия 50 Ач (24 L) обр.п. (0);4950;00003144;440А;50,0 Ач;12В;Тонкие;Обратная;235 мм.;125 мм.;220 мм.;12.4 кг.;"Акционерное общество ""Тюменский аккумуляторный завод""";Российская Федерация г.Тюмень
